Survey_Id,,,,,,,,,,,Crossing_Type,,,,,,,,GPS_X_Coordinate,GPS_Y_Coordinate,,Inlet_Type,,Number_Of_Culverts,,,Road_Fill_Height,,,,,,,,Naacc_Culvert_Id,,,,Crossing_Structure_Length,,,,Inlet_Height,Inlet_Structure_Type,Inlet_Substrate_Water_Width,Inlet_Water_Depth,Inlet_Width,,Material,,,,,,,,,,,,Slope_Percent
10942,,,,,,,,,,,Single Culvert,,,,,,,,-74.205678,42.487448,,Headwall,,1,,,0,,,,,,,,11179,,,,35,,,,0,Round Culvert,0,0,2.5,,Steel / Metal,,,,,,,,,,,,5.3
10944,,,,,,,,,,,Single Culvert,,,,,,,,-74.215125,42.479741,,Headwall and Wingwall,,1,,,0,,,,,,,,11181,,,,41,,,,0,Round Culvert,0,0,2.5,,Steel / Metal,,,,,,,,,,,,2.3
10945,,,,,,,,,,,Single Culvert,,,,,,,,-74.215916,42.476376,,Projecting,,1,,,-1.9,,,,,,,,11182,,,,39.5,,,,1.9,Round Culvert Embedded or with Persistent Water,0.9,1,2,,Plastic,,,,,,,,,,,,2.3
10946,,,,,,,,,,,Single Culvert,,,,,,,,-74.196562,42.46815,,Projecting,,1,,,0,,,,,,,,11183,,,,40.4,,,,0,Round Culvert,0,0,2,,Plastic,,,,,,,,,,,,3.3
10947,,,,,,,,,,,Single Culvert,,,,,,,,-74.199522,42.467677,,Headwall,,1,,,0,,,,,,,,11184,,,,50.5,,,,0,Round Culvert,0,0,1.4,,Plastic,,,,,,,,,,,,6
10948,,,,,,,,,,,Single Culvert,,,,,,,,-74.201166,42.43439,,Headwall and Wingwall,,1,,,0,,,,,,,,11185,,,,62,,,,0,Round Culvert,0,0,2,,Plastic,,,,,,,,,,,,7.7
10949,,,,,,,,,,,Single Culvert,,,,,,,,-74.198546,42.435375,,Projecting,,1,,,0,,,,,,,,11186,,,,61,,,,0,Round Culvert,0,0,2,,Plastic,,,,,,,,,,,,78
10950,,,,,,,,,,,Single Culvert,,,,,,,,-74.19773,42.43542,,Projecting,,1,,,0,,,,,,,,11187,,,,41,,,,0,Round Culvert,0,0,2,,Plastic,,,,,,,,,,,,7.8
10951,,,,,,,,,,,Single Culvert,,,,,,,,-74.19773,42.43584,,Projecting,,1,,,0,,,,,,,,11188,,,,39.5,,,,0,Round Culvert,0,0,1.5,,Plastic,,,,,,,,,,,,3.4
10953,,,,,,,,,,,Single Culvert,,,,,,,,-74.18648,42.436841,,Headwall,,1,,,-2,,,,,,,,11190,,,,34.5,,,,2,Round Culvert Embedded or with Persistent Water,1.5,4,2,,Steel / Metal,,,,,,,,,,,,1.7
10979,,,,,,,,,,,Single Culvert,,,,,,,,-74.175758,42.489805,,Headwall,,1,,,0,,,,,,,,11217,,,,31,,,,0,Round Culvert,0,0,1.2,,Plastic,,,,,,,,,,,,0.9
10980,,,,,,,,,,,Single Culvert,,,,,,,,-74.175875,42.462693,,Projecting,,1,,,0,,,,,,,,11218,,,,51,,,,0,Round Culvert,0,0,1.3,,Steel / Metal,,,,,,,,,,,,3.7
10982,,,,,,,,,,,Single Culvert,,,,,,,,-74.202157,42.499357,,Headwall,,1,,,0,,,,,,,,11220,,,,22,,,,0,Round Culvert,0,0,1.5,,Steel / Metal,,,,,,,,,,,,5.3
10983,,,,,,,,,,,Single Culvert,,,,,,,,-74.197958,42.499413,,Headwall,,1,,,0,,,,,,,,11221,,,,25.5,,,,0,Round Culvert,0,0,1.6,,Steel / Metal,,,,,,,,,,,,5.3
10994,,,,,,,,,,,Single Culvert,,,,,,,,-74.184343,42.463045,,Projecting,,1,,,0,,,,,,,,11232,,,,56,,,,0,Round Culvert,0,0,1.3,,Steel / Metal,,,,,,,,,,,,5.7
10996,,,,,,,,,,,Single Culvert,,,,,,,,-74.184321,42.462936,,Headwall,,1,,,0,,,,,,,,11234,,,,50.5,,,,0,Round Culvert,0,0,1.1,,Plastic,,,,,,,,,,,,1
11000,,,,,,,,,,,Single Culvert,,,,,,,,-74.185311,42.468961,,Projecting,,1,,,0,,,,,,,,11238,,,,35,,,,0,Round Culvert,0,0,1.4,,Plastic,,,,,,,,,,,,3.8
11001,,,,,,,,,,,Single Culvert,,,,,,,,-74.185263,42.471151,,Headwall,,1,,,0,,,,,,,,11239,,,,41.4,,,,0,Round Culvert,0,0,1.4,,Steel / Metal,,,,,,,,,,,,2.1
11002,,,,,,,,,,,Single Culvert,,,,,,,,-74.1853,42.471506,,Headwall,,1,,,0,,,,,,,,11240,,,,36,,,,0,Round Culvert,0,0,2.9,,Steel / Metal,,,,,,,,,,,,4.8
11003,,,,,,,,,,,Single Culvert,,,,,,,,-74.185111,42.473846,,Headwall,,1,,,0,,,,,,,,11241,,,,24,,,,0,Round Culvert,0,0,3.5,,Steel / Metal,,,,,,,,,,,,3.8
11005,,,,,,,,,,,Single Culvert,,,,,,,,-74.211686,42.50509,,Headwall,,1,,,0,,,,,,,,11243,,,,30.5,,,,0,Round Culvert,0,0,2,,Plastic,,,,,,,,,,,,6.5
